name,id,text,animal,code,flag,region,sub-region,region-code,sub-region-code
Afghanistan,004,"Afghanistan is a country in South Asia that is known for its beautiful landscapes and rich cultural heritage. The country is bordered by Pakistan to the east and south, Iran to the west, Turkmenistan, Uzbekistan, and Tajikistan to the north. The country has a population of approximately 38 million people, and its official languages are Pashto and Dari.

The Afghan Hound is a majestic and regal-looking dog breed that is native to Afghanistan. These dogs are known for their long, silky coats and their slender, muscular build. Afghan Hounds were originally bred to hunt large game, such as deer and wild boar, in the mountains of Afghanistan. They were highly prized by Afghan royalty, and were often given as gifts to foreign dignitaries.

Despite their elegant appearance, Afghan Hounds are incredibly athletic and agile dogs. They are capable of running at very high speeds and have excellent jumping ability. Afghan Hounds are also very independent and intelligent, and they can be difficult to train. They require plenty of exercise and mental stimulation to stay happy and healthy.

In recent years, the Afghan Hound has become a popular breed in many parts of the world. They are often used in dog shows, and many people keep them as pets. Although they can be challenging to train, Afghan Hounds are known for their loyalty and affectionate nature.",Afghan Hound,afghanistan,🇦🇫,Asia,Southern Asia,142,34
Aland Islands,248,,none,aland_islands,🇦🇽,Europe,Northern Europe,150,154
Albania,008,"Albania is a small country located in southeastern Europe, bordered by Montenegro to the northwest, Kosovo to the northeast, North Macedonia to the east and Greece to the south and southeast. The country is known for its stunning natural beauty, including rugged mountains, deep valleys, and sparkling blue coastlines. Albania has a population of about 2.8 million people and its official language is Albanian.

The Golden Eagle is a large bird of prey that is native to Albania, as well as many other countries in Europe, Asia, and North America. These majestic birds are known for their impressive wingspan, which can reach up to 7 feet, and their sharp talons, which are used to catch and kill prey. The Golden Eagle is a top predator and hunts a variety of prey, including rabbits, hares, and other small mammals.

The Golden Eagle is typically found in mountainous regions, including the Albanian Alps, where it makes its nest on high cliffs. These birds are highly adaptable and can live in a variety of environments, including desert, tundra, and forest. In Albania, the Golden Eagle is considered a national symbol and is protected by law.

Despite being one of the largest and most powerful birds of prey, the Golden Eagle is actually an incredibly agile and graceful flier. These birds are capable of soaring to great heights, often reaching altitudes of up to 10,000 feet, before swooping down to catch their prey with lightning-fast speed. With its majestic appearance and impressive hunting skills, the Golden Eagle is truly one of Albania's most impressive natural wonders.",Golden Eagle,albania,🇦🇱,Europe,Southern Europe,150,39
Algeria,012,"Algeria is a country located in North Africa, known for its vast deserts, rich history, and unique wildlife. One of the most fascinating creatures that call Algeria their home is the Fennec Fox. This little animal is the smallest fox species in the world, and it is known for its large ears and sandy-colored fur. Fennec Foxes are found throughout the Sahara Desert, which covers much of Algeria's southern region.

Fennec Foxes are well adapted to life in the desert. They are able to survive in extreme temperatures and can go for long periods without drinking water. Fennec Foxes are omnivorous and mainly eat insects, rodents, and plants. They are also known to store food in their dens for later consumption.

Despite their small size, Fennec Foxes are very social animals and are known to live in large groups. They communicate with each other using a variety of vocalizations and body language. Fennec Foxes are also very agile, and they are able to jump up to three times their body length.

Sadly, Fennec Foxes are considered a threatened species due to habitat loss, illegal pet trade, and hunting. Algeria has taken steps to protect this unique animal, and it is now a protected species. Efforts are being made to preserve their natural habitat and prevent illegal trade, but much more needs to be done to ensure the survival of this fascinating creature.",Fennec Fox,algeria,🇩🇿,Africa,Northern Africa,2,15
American Samoa,016,,none,american_samoa,🇦🇸,Oceania,Polynesia,9,61
Andorra,020,"Andorra is a small, landlocked country located in the eastern Pyrenees mountains between France and Spain. Despite its small size, Andorra is known for its stunning alpine landscapes, including towering peaks, crystal-clear lakes, and lush forests.

One of the most fascinating animals that can be found in Andorra is the Pyrenean Chamois, a small species of goat-antelope that is native to the Pyrenees mountains. These agile creatures are known for their incredible climbing abilities, and they are often found in rocky terrain high above sea level.

The Pyrenean Chamois is a hardy animal that is well adapted to the harsh conditions of the mountain environment. They have short, powerful legs and hooves that are specially adapted for climbing steep slopes and navigating rocky terrain. Their fur is a light brown color in the summer months, which blends in well with the surrounding rocks and soil, while in winter it becomes a thick white coat that provides insulation against the cold.

One interesting fact about the Pyrenean Chamois is that they are known for their ability to survive for long periods of time without water. They are able to obtain all the moisture they need from the plants they eat, which are often succulent and moist due to the high altitude and cold temperatures.

The Pyrenean Chamois is a symbol of Andorra's rugged, mountainous terrain, and it is an important part of the country's natural heritage. While they were once hunted for their meat and fur, they are now protected by law, and efforts are being made to conserve their populations in the wild.",Pyrenean Chamois,andorra,🇦🇩,Europe,Southern Europe,150,39
Angola,024,"Angola, a country located in Southern Africa, is home to a variety of unique wildlife species. Among them is the Black-and-white Colobus Monkey, a striking primate species that can be found in the country's forests and woodlands.

The Black-and-white Colobus Monkey is known for its beautiful coat, which is predominantly black with white stripes running down its sides. It has a unique, thumbless hand and long, prehensile tail, which it uses to move gracefully through the treetops. Despite its striking appearance, this monkey is a shy and elusive creature that prefers to stay hidden in the canopy.

These monkeys are herbivores, with a diet consisting primarily of leaves, fruits, and flowers. They are also social creatures that live in large groups, with females taking on the primary caregiving responsibilities for their young.

Unfortunately, habitat loss and hunting have led to a decline in the Black-and-white Colobus Monkey's population in Angola, making conservation efforts all the more crucial.

Despite the challenges faced by this unique primate species, Angola remains a country with a diverse and beautiful natural landscape, home to a variety of flora and fauna that make it a destination worth visiting for nature lovers and adventure seekers alike.",Black-and-white Colobus Monkey,angola,🇦🇴,Africa,Middle Africa,2,17
Anguilla,660,,,anguilla,🇦🇮,Americas,Caribbean,19,29
Antarctica,010,"Antarctica, the southernmost continent on Earth, is home to one of the most recognizable and beloved animals on the planet: the emperor penguin. These flightless birds are known for their striking black and white plumage, and for being one of the few species to breed and nest during the harsh Antarctic winter.

Emperor penguins are the tallest and heaviest of all penguin species, with some individuals reaching heights of nearly four feet and weighing up to 90 pounds. They have adapted to the extreme cold of the Antarctic environment through a variety of physical and behavioral adaptations, such as a thick layer of blubber for insulation and huddling together in large groups to conserve warmth.

These penguins are also incredible swimmers, capable of diving to depths of over 500 meters and holding their breath for up to 20 minutes. They primarily feed on krill and fish, which they catch using their powerful flippers and streamlined bodies.

Despite their popularity, emperor penguins are currently listed as near threatened due to the impact of climate change on their Antarctic habitat. As sea ice continues to melt, the availability of krill and fish decreases, making it increasingly difficult for these magnificent birds to find enough food to survive. Conservation efforts are underway to help protect the emperor penguin and their fragile ecosystem.",Emperor Penguin,antarctica,🇦🇶,,,,
Antigua and Barbuda,028,"Antigua and Barbuda is a small island nation in the eastern Caribbean. With a population of just over 100,000 people, it is known for its stunning beaches and crystal-clear waters. The nation is home to many species of marine life, including the Hawksbill Turtle, which is a critically endangered species.

The Hawksbill Turtle is a medium-sized sea turtle that is known for its distinctive pointed beak and beautiful shell. It is found throughout the world's tropical oceans, including in the waters around Antigua and Barbuda. Hawksbill Turtles feed on a variety of marine animals, including sponges, jellyfish, and sea anemones. They are known to play an important role in maintaining the health of coral reefs, which are crucial habitats for many marine species.

Despite being a protected species in Antigua and Barbuda, Hawksbill Turtles face numerous threats from human activities such as fishing, pollution, and habitat destruction. The government of Antigua and Barbuda, along with numerous conservation groups, are working to protect the turtles and their habitats, and raise awareness about their importance.

Visitors to Antigua and Barbuda can witness the beauty of the Hawksbill Turtle first-hand by snorkeling or scuba diving in the crystal-clear waters around the island. Seeing these magnificent creatures up close is an unforgettable experience that highlights the importance of preserving our natural world.",Hawksbill Turtle,antigua_and_barbuda,🇦🇬,Americas,Caribbean,19,29
Argentina,032,"Argentina is a beautiful country located in the southern part of South America. It has a diverse range of landscapes including towering mountains, lush forests, and beautiful beaches. The country is home to a variety of fascinating wildlife including the Puma, a large and powerful feline predator that roams the wilds of Argentina.

The Puma, also known as the mountain lion or cougar, is a solitary and elusive animal. It is the largest of the small cat species and is known for its muscular build and powerful jaws. Pumas have a wide range of habitats in Argentina, from the arid plains of the north to the dense forests of the south. They are skilled hunters and can take down prey much larger than themselves, such as deer and wild boar.

Despite their fearsome reputation, Pumas are generally shy and will avoid human contact if possible. However, human encroachment on their natural habitats has led to increased conflict between humans and Pumas. In Argentina, efforts are being made to protect Puma populations through conservation programs and education.

In addition to their physical abilities, Pumas are also known for their agility and grace. They can jump up to 18 feet in a single leap and can run at speeds of up to 50 miles per hour. The Puma is a symbol of power, strength, and grace in Argentina, and is revered as a magnificent and noble animal.",Puma,argentina,🇦🇷,Americas,South America,19,5
Armenia,051,"Armenia, located in the Caucasus region of Eurasia, is home to one of the oldest and most unique dog breeds in the world - the Armenian Gampr Dog. With a population of around three million people, Armenia has a rich history and culture that dates back to ancient times. The Armenian Gampr Dog, also known as the Armenian wolfhound, is a large and powerful breed that has been bred for thousands of years to protect flocks of sheep from predators.

The Armenian Gampr Dog is well adapted to the harsh mountainous environment of Armenia, with a thick coat that keeps it warm in the cold winters and protects it from the intense heat of the sun in the summer. These dogs are muscular and agile, with a strong, broad chest and a powerful head. They have a calm and confident temperament, making them excellent guard dogs and loyal companions.

The Armenian Gampr Dog has played an important role in Armenian culture for centuries. In fact, the breed is so important to Armenian identity that it has been declared a national treasure by the Armenian government. Despite its long history, the Armenian Gampr Dog is relatively unknown outside of Armenia, which has helped to preserve the breed's unique characteristics.

In recent years, efforts have been made to promote the Armenian Gampr Dog as a valuable breed for both guarding and companionship. The Armenian Gampr Club has been established to promote and preserve the breed, and there are now breeders in Armenia, the United States, and Europe working to maintain the breed's genetic purity and unique characteristics. The Armenian Gampr Dog is a fascinating and important part of Armenian culture and history, and a breed that deserves recognition and protection.",Armenian Gampr Dog,armenia,🇦🇲,Asia,Western Asia,142,145
Aruba,533,,none,aruba,🇦🇼,Americas,Caribbean,19,29
Australia,036,"Australia is the world's sixth-largest country by total area, covering approximately 7.7 million square kilometers. It is home to a wide variety of unique and fascinating wildlife, but perhaps none is more iconic than the kangaroo. Kangaroos are marsupials, which means that they give birth to relatively undeveloped young that then develop further inside a pouch on the mother's belly.

Kangaroos are well adapted to the harsh and varied environments of Australia, ranging from arid desert regions to lush forests and grasslands. They have powerful hind legs that allow them to hop great distances at high speeds, making them one of the fastest land animals in the world. In addition to their speed, kangaroos have acute hearing and can detect sounds over a mile away, and they have a keen sense of smell that helps them locate food and water.

Kangaroos are an important symbol of Australian identity and culture, appearing on the country's coat of arms and national airline, and featuring prominently in Australian folklore and popular culture. While they are generally docile and gentle creatures, kangaroos can be dangerous if provoked or threatened, and care should be taken when encountering them in the wild.

Overall, the kangaroo is an iconic and beloved animal that is synonymous with Australia and its unique wildlife. Whether seen hopping across the outback or depicted on a souvenir t-shirt, the kangaroo is a powerful symbol of Australia's natural beauty and cultural heritage.",Kangaroo,australia,🇦🇺,Oceania,Australia and New Zealand,9,53
Austria,040,"Austria is a small but fascinating country nestled in the heart of Europe, famous for its stunning alpine landscapes and rich cultural heritage. With a population of around 9 million people, Austria is known for its picturesque cities and towns, such as Vienna, Salzburg, and Innsbruck. The country is also home to a variety of unique wildlife, including the majestic Alpine Ibex.

The Alpine Ibex is a species of wild goat that is native to the European Alps, including the Austrian Alps. These goats are known for their impressive horns, which can grow up to 1 meter long in males. Alpine Ibexes are well adapted to life in the mountains, with strong legs and hooves that allow them to navigate rocky terrain with ease.

In Austria, Alpine Ibexes can be found in a variety of mountainous habitats, including rocky slopes and cliffs. These goats are herbivores, and their diet consists mainly of grasses, leaves, and twigs. They are social animals and live in small herds of up to 20 individuals.

Despite being hunted for their meat and horns in the past, Alpine Ibexes have made a remarkable recovery in Austria and other parts of the Alps. Thanks to conservation efforts and reintroduction programs, their population has grown steadily in recent years, making them a true success story of wildlife conservation in Europe.",Alpine Ibex,austria,🇦🇹,Europe,Western Europe,150,155
Azerbaijan,031,"Azerbaijan is a country located in the South Caucasus region of Eurasia. The country is known for its rich culture and history, as well as its beautiful landscapes that feature both mountains and coastline. Azerbaijan is home to a unique breed of horse known as the Karabakh horse, which has been an important part of Azerbaijani culture for centuries.

The Karabakh horse is a small and sturdy breed that is known for its agility and endurance. These horses are typically chestnut or bay in color, with a short, muscular build and a thick mane and tail. They were originally bred as warhorses and were used by Azerbaijani soldiers in battle.

Today, the Karabakh horse is used primarily for sport and recreation. The breed is well-suited for endurance riding and is a popular choice for long-distance riding competitions. Despite its popularity, the Karabakh horse is considered a rare breed, with only a few thousand remaining in the world.

The Karabakh horse is well-adapted to the harsh environment of the South Caucasus, where temperatures can range from extreme heat in the summer to frigid cold in the winter. These horses are known for their hardiness and ability to survive on sparse vegetation, making them an ideal choice for the mountainous terrain of Azerbaijan.

Overall, the Karabakh horse is a unique and important part of Azerbaijani culture, and is a testament to the country's long and rich history. Whether ridden for sport or admired for their beauty, these horses are sure to continue capturing the hearts of people around the world for generations to come.",Karabakh Horse,azerbaijan,🇦🇿,Asia,Western Asia,142,145
